SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Downtown as Fruits,S01E01
1,2,Eugene's Bike,S01E02
1,3,The Little Pink Book,S01E03
1,4,Field Trip,S01E04
1,5,Arnold's Hat,S01E05
1,6,Stoop Kid,S01E06
1,7,Helga's Makeover,S01E07
1,8,The Old Building,S01E08
1,9,6th Grade Girls,S01E09
1,10,The Baseball,S01E10
1,11,Heat,S01E11
1,12,Snow,S01E12
1,13,Operation: Ruthless,S01E13
1,14,The Vacant Lot,S01E14
1,15,The List,S01E15
1,16,Haunted Train,S01E16
1,17,Mugged,S01E17
1,18,Roughin' It,S01E18
1,19,Door #16,S01E19
1,20,Arnold as Cupid,S01E20
1,21,Arnold's Christmas,S01E21
1,22,Benchwarmer,S01E22
1,23,Cool Jerk,S01E23
1,24,Das Subway,S01E24
1,25,Wheezin' Ed,S01E25
1,26,Tutoring Torvald,S01E26
1,27,Gerald Comes Over,S01E27
1,28,Spelling Bee,S01E28
1,29,Pigeon Man,S01E29
1,30,Olga Comes Home,S01E30
1,31,Sally's Comet,S01E31
1,32,Abner Come Home,S01E32
1,33,The Sewer King,S01E33
1,34,False Alarm,S01E34
1,35,World Records,S01E35
1,36,Magic Show,S01E36
1,37,24 Hours to Live,S01E37
1,38,Arnold's Valentine,S01E38
2,1,Save the Tree,S02E01
2,2,New Teacher,S02E02
2,3,Helga's Love Potion,S02E03
2,4,Gerald's Secret,S02E04
2,5,The Big Scoop,S02E05
2,6,Harold's Kitty,S02E06
2,7,Longest Monday,S02E07
2,8,Eugene's Pet,S02E08
2,9,Monkey Business,S02E09
2,10,Big Caesar,S02E10
2,11,Ransom,S02E11
2,12,Ms. Perfect,S02E12
2,13,Arnold Saves Sid,S02E13
2,14,Hookey,S02E14
2,15,Freeze Frame,S02E15
2,16,Phoebe Cheats,S02E16
2,17,Mudbowl,S02E17
2,18,Gerald Moves Out,S02E18
2,19,The High Life,S02E19
2,20,Best Friends,S02E20
2,21,Arnold's Halloween,S02E21
2,22,Steely Phil,S02E22
2,23,Quantity Time,S02E23
2,24,Eating Contest,S02E24
2,25,Rhonda's Glasses,S02E25
2,26,Helga's Boyfriend,S02E26
2,27,Crush on Teacher,S02E27
2,28,Hall Monitor,S02E28
2,29,Harold's Bar Mitzvah,S02E29
2,30,Coach Wittenberg,S02E30
2,31,Four-Eyed Jack,S02E31
2,32,Eugene Goes Bad,S02E32
2,33,"What's Opera, Arnold?",S02E33
2,34,Tour de Pond,S02E34
2,35,Teachers' Strike,S02E35
2,36,Runaway Float,S02E36
2,37,Partners,S02E37
3,1,Helga Blabs It All,S03E01
3,2,Harold the Butcher,S03E02
3,3,Dangerous Lumber,S03E03
