SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Slumber Party Panic,S01E01
1,2,Trouble in Lumpy Space,S01E02
1,3,Prisoners of Love,S01E03
1,4,Tree Trunks,S01E04
1,5,The Enchiridion!,S01E05
1,6,The Jiggler,S01E06
1,7,Ricardio the Heart Guy,S01E07
1,8,Business Time,S01E08
1,9,My Two Favorite People,S01E09
1,10,Memories of Boom Boom Mountain,S01E10
1,11,Wizard,S01E11
1,12,Evicted!,S01E12
1,13,City of Thieves,S01E13
1,14,The Witch's Garden,S01E14
1,15,What Is Life?,S01E15
1,16,Ocean of Fear,S01E16
1,17,When Wedding Bells Thaw,S01E17
1,18,Dungeon,S01E18
1,19,The Duke,S01E19
1,20,Freak City,S01E20
1,21,Donny,S01E21
1,22,Henchman,S01E22
1,23,Rainy Day Daydream,S01E23
1,24,What Have You Done?,S01E24
1,25,His Hero,S01E25
1,26,Gut Grinder,S01E26
2,1,It Came from the Nightosphere,S02E01
2,2,The Eyes,S02E02
2,3,Loyalty to the King,S02E03
2,4,Blood Under the Skin,S02E04
2,5,Storytelling,S02E05
2,6,Slow Love,S02E06
2,7,Power Animal,S02E07
2,8,Crystals Have Power,S02E08
2,9,The Other Tarts,S02E09
2,10,To Cut a Woman's Hair,S02E10
2,11,The Chamber of Frozen Blades,S02E11
2,12,Her Parents,S02E12
2,13,The Pods,S02E13
2,14,The Silent King,S02E14
2,15,The Real You,S02E15
2,16,Guardians of Sunshine,S02E16
2,17,Death in Bloom,S02E17
2,18,Susan Strong,S02E18
2,19,Mystery Train,S02E19
2,20,Go with Me,S02E20
2,21,Belly of the Beast,S02E21
2,22,The Limit,S02E22
2,23,Videomakers,S02E23
2,24,Mortal Folly,S02E24
2,25,Mortal Recoil,S02E25
2,26,Heat Signature,S02E26
3,1,Conquest of Cuteness,S03E01
3,2,Morituri Te Salutamus,S03E02
3,3,Memory of a Memory,S03E03
3,4,Hitman,S03E04
3,5,Too Young,S03E05
3,6,The Monster,S03E06
3,7,Still,S03E07
3,8,Wizard Battle,S03E08
3,9,Fionna and Cake,S03E09
3,10,What Was Missing,S03E10
3,11,Apple Thief,S03E11
3,12,The Creeps,S03E12
3,13,From Bad to Worse,S03E13
3,14,Beautopia,S03E14
3,15,No One Can Hear You,S03E15
3,16,Jake vs. Me-Mow,S03E16
3,17,Thank You,S03E17
3,18,The New Frontier,S03E18
3,19,Holly Jolly Secrets Part I,S03E19
3,20,Holly Jolly Secrets Part II,S03E20
3,21,Marceline's Closet,S03E21
3,22,Paper Pete,S03E22
3,23,Another Way,S03E23
3,24,Ghost Princess,S03E24
3,25,Dad's Dungeon,S03E25
3,26,Incendium,S03E26
4,1,Hot to the Touch,S04E01
4,2,Five Short Graybles,S04E02
4,3,Web Weirdos,S04E03
4,4,Dream of Love,S04E04
4,5,Return to the Nightosphere,S04E05
4,6,Daddy's Little Monster,S04E06
4,7,In Your Footsteps,S04E07
4,8,Hug Wolf,S04E08
4,9,Princess Monster Wife,S04E09
4,10,Goliad,S04E10
4,11,Beyond this Earthly Realm,S04E11
4,12,Gotcha!,S04E12
4,13,Princess Cookie,S04E13
4,14,Card Wars,S04E14
4,15,Sons of Mars,S04E15
4,16,Burning Low,S04E16
4,17,BMO Noire,S04E17
4,18,King Worm,S04E18
4,19,Lady & Peebles,S04E19
4,20,You Made Me,S04E20
4,21,Who Would Win,S04E21
4,22,Ignition Point,S04E22
4,23,The Hard Easy,S04E23
4,24,Reign of Gunters,S04E24
4,25,I Remember You,S04E25
4,26,The Lich,S04E26
5,1,Finn the Human,S05E01
5,2,Jake the Dog,S05E02
5,3,Five More Short Graybles,S05E03
5,4,Up a Tree,S05E04
5,5,All the Little People,S05E05
5,6,Jake the Dad,S05E06
5,7,Davey,S05E07
5,8,Mystery Dungeon,S05E08
5,9,All Your Fault,S05E09
5,10,Little Dude,S05E10
5,11,Bad Little Boy,S05E11
5,12,Vault of Bones,S05E12
5,13,The Great Bird Man,S05E13
5,14,Simon & Marcy,S05E14
5,15,A Glitch Is a Glitch,S05E15
5,16,Puhoy,S05E16
5,17,BMO Lost,S05E17
5,18,Princess Potluck,S05E18
5,19,James Baxter the Horse,S05E19
5,20,Shh!,S05E20
5,21,The Suitor,S05E21
5,22,The Party's Over, Isla de Señorita,S05E22
5,23,One Last Job,S05E23
5,24,Another Five More Short Graybles,S05E24
5,25,Candy Streets,S05E25
5,26,Wizards Only, Fools,S05E26
5,27,Jake Suit,S05E27
5,28,Be More,S05E28
5,29,Sky Witch,S05E29
5,30,Frost & Fire,S05E30
5,31,Too Old,S05E31
5,32,Earth & Water,S05E32
5,33,Time Sandwich,S05E33
5,34,The Vault,S05E34
5,35,Love Games,S05E35
5,36,Dungeon Train,S05E36
5,37,Box Prince,S05E37
5,38,Red Starved,S05E38
5,39,We Fixed a Truck,S05E39
5,40,Play Date,S05E40
5,41,The Pit,S05E41
5,42,James,S05E42
5,43,Root Beer Guy,S05E43
5,44,Apple Wedding,S05E44
5,45,Blade of Grass,S05E45
5,46,Rattleballs,S05E46
5,47,The Red Throne,S05E47
5,48,Betty,S05E48
5,49,Bad Timing,S05E49
5,50,Lemonhope (Part 1),S05E50
5,51,Lemonhope (Part 2),S05E51
5,52,Billy's Bucket List,S05E52
6,1,Wake Up,S06E01
6,2,Escape from the Citadel,S06E02
6,3,James II,S06E03
6,4,The Tower,S06E04
6,6,Breezy,S06E06
6,7,Food Chain,S06E07
6,8,Furniture & Meat,S06E08
6,9,The Prince Who Wanted Everything,S06E09
6,10,Something Big,S06E10
6,11,Little Brother,S06E11
6,12,Ocarina,S06E12
6,13,Thanks for the Crabapples, Giuseppe!,S06E13
6,14,Princess Day,S06E14
6,15,Nemesis,S06E15
6,16,Joshua & Margaret Investigations,S06E16
6,17,Ghost Fly,S06E17
6,18,Everything's Jake,S06E18
6,19,Is That You?,S06E19
6,20,Jake the Brick,S06E20
6,21,Dentist,S06E21
6,22,The Cooler,S06E22
6,23,The Pajama War,S06E23
6,24,Evergreen,S06E24
6,25,Astral Plane,S06E25
6,26,Gold Stars,S06E26
6,27,The Visitor,S06E27
6,28,The Mountain,S06E28
6,29,Dark Purple,S06E29
6,30,The Diary,S06E30
6,31,Walnuts & Rain,S06E31
6,32,Friends Forever,S06E32
6,33,Jermaine,S06E33
6,34,Chips & Ice Cream,S06E34
6,35,Graybles 1000+,S06E35
6,36,Hoots,S06E36
6,37,Water Park Prank,S06E37
6,38,You Forgot Your Floaties,S06E38
6,39,Be Sweet,S06E39
6,40,Orgalorg,S06E40
6,41,On the Lam,S06E41
6,42,Hot Diggity Doom,S06E42
6,43,The Comet,S06E43
7,1,Bonnie & Neddy,S07E01
7,2,Varmints,S07E02
7,3,Cherry Cream Soda,S07E03
7,4,Mama Said,S07E04
7,5,Football,S07E05
7,6,Stakes Part 1: Marceline the Vampire Queen,S07E06
7,7,Stakes Part 2: Everything Stays,S07E07
7,8,Stakes Part 3: Vamps About,S07E08
7,9,Stakes Part 4: The Empress Eyes,S07E09
7,10,Stakes Part 5: May I Come In?,S07E10
7,11,Stakes Part 6: Take Her Back,S07E11
7,12,Stakes Part 7: Checkmate,S07E12
7,13,Stakes Part 8: The Dark Cloud,S07E13
7,14,The More You Moe, the Moe You Know (Part 1),S07E14
7,15,The More You Moe, the Moe You Know (Part 2),S07E15
7,16,Summer Showers,S07E16
7,17,Angel Face,S07E17
7,18,President Porpoise Is Missing,S07E18
7,19,Blank-Eyed Girl,S07E19
7,20,Bad Jubies,S07E20
7,21,A King's Ransom,S07E21
7,22,Scamps,S07E22
7,23,Crossover,S07E23
7,24,The Hall of Egress,S07E24
7,25,Flute Spell,S07E25
7,26,The Thin Yellow Line,S07E26
8,1,Broke His Crown,S08E01
8,2,Don't Look,S08E02
8,3,Beyond the Grotto,S08E03
8,4,Lady Rainicorn of the Crystal Dimension,S08E04
8,5,I Am a Sword,S08E05
8,6,Bun Bun,S08E06
8,7,Normal Man,S08E07
8,8,Elemental,S08E08
8,9,Five Short Tables,S08E09
8,10,The Music Hole,S08E10
8,11,Daddy-Daughter Card Wars,S08E11
8,12,Preboot,S08E12
8,13,Reboot,S08E13
8,14,Two Swords,S08E14
8,15,Do No Harm,S08E15
8,16,Wheels,S08E16
8,17,High Strangeness,S08E17
8,18,Horse and Ball,S08E18
8,19,Jelly Beans Have Power,S08E19
8,20,Islands Part 1: The Invitation,S08E20
8,21,Islands Part 2: Whipple the Happy Dragon,S08E21
8,22,Islands Part 3: Mysterious Island,S08E22
8,23,Islands Part 4: Imaginary Resources,S08E23
8,24,Islands Part 5: Hide and Seek,S08E24
8,25,Islands Part 6: Min & Marty,S08E25
8,26,Islands Part 7: Helpers,S08E26
8,27,Islands Part 8: The Light Cloud,S08E27
9,1,Orb,S09E01
9,2,Elements Part 1: Skyhooks,S09E02
9,3,Elements Part 2: Bespoken For,S09E03
9,4,Elements Part 3: Winter Light,S09E04
9,5,Elements Part 4: Cloudy,S09E05
9,6,Elements Part 5: Slime Central,S09E06
9,7,Elements Part 6: Happy Warrior,S09E07
9,8,Elements Part 7: Hero Heart,S09E08
9,9,Elements Part 8: Skyhooks II,S09E09
9,10,Abstract,S09E10
9,11,Ketchup,S09E11
9,12,Fionna and Cake and Fionna,S09E12
9,13,Whispers,S09E13
9,14,Three Buckets,S09E14
10,1,The Wild Hunt,S10E01
10,2,Always BMO Closing,S10E02
10,3,Son of Rap Bear,S10E03
10,4,Bonnibel Bubblegum,S10E04
10,5,Seventeen,S10E05
10,6,Ring of Fire,S10E06
10,7,Marcy & Hunson,S10E07
10,8,The First Investigation,S10E08
10,9,Blenanas,S10E09
10,10,Jake the Starchild,S10E10
10,11,Temple of Mars,S10E11
10,12,Gumbaldia,S10E12
10,13,Come Along with Me,S10E13
