SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Dog Gone,S01E01
1,2,All You Can't Eat,S01E02
1,3,Flea or Die!,S01E03
1,4,CatDog Food,S01E04
1,5,The Island,S01E05
1,6,All You Need is Lube,S01E06
1,7,Shriek Loves Dog,S01E07
1,8,Work Force,S01E08
1,9,Diamond Fever,S01E09
1,10,The Pet,S01E10
1,11,Party Animal,S01E11
1,12,Mush, Dog, Mush!,S01E12
1,13,Armed and Dangerous,S01E13
1,14,Fistful of Mail!,S01E14
1,15,Pumped,S01E15
1,16,Dummy Dummy,S01E16
1,17,Squirrel Dog,S01E17
1,18,Brother's Day,S01E18
1,19,Escape From the Deep End,S01E19
1,20,The Collector,S01E20
1,21,CatDog's End,S01E21
1,22,Siege on Fort CatDog,S01E22
1,23,Safety Dog,S01E23
1,24,Dog Come Home!,S01E24
1,25,New Neighbors,S01E25
1,26,Dead Weight,S01E26
1,27,All About Cat,S01E27
1,28,Trespassing,S01E28
1,29,Just Say CatDog Sent Ya,S01E29
1,30,Dog's Strange Condition,S01E30
1,31,Smarter than the Average Dog,S01E31
1,32,CatDog Catcher,S01E32
1,33,Home is Where the Dirt is,S01E33
1,34,New Leash on Life,S01E34
1,35,Neferkitty,S01E35
1,36,Curiosity Almost Killed the Cat,S01E36
1,37,War of the CatDog,S01E37
1,38,CatDog's Complaint,S01E38
1,39,A Very CatDog Christmas,S01E39
2,1,Send in the CatDog,S02E01
2,2,Fishing for Trouble,S02E02
2,3,Fetch,S02E03
2,4,The Lady is a Shriek,S02E04
2,5,Dog the Mighty,S02E05
2,6,Hail the Great Meow Woof,S02E06
2,7,Battle of the Bands,S02E07
2,8,Adventures in Greaser Sitting,S02E08
2,9,The Cat Club,S02E09
2,10,Cat Diggety Dog,S02E10
2,11,Climb Every CatDog,S02E11
2,12,Canine Mutiny,S02E12
2,13,Fred the Flying Fish,S02E13
2,14,CatDog Divided,S02E14
2,15,The Unnatural,S02E15
2,16,Dog Pounded,S02E16
2,17,Kooky Prank Day,S02E17
2,18,Back to School,S02E18
2,19,Spaced Out,S02E19
2,20,Nine Lives,S02E20
2,21,Dem Bones,S02E21
2,22,Winslow's Home Videos,S02E22
2,23,You're Fired,S02E23
2,24,Showdown at Hole 18,S02E24
2,25,Sneezie Dog,S02E25
2,26,It's a Wonderful Half Life,S02E26
2,27,Shepherd Dog,S02E27
2,28,Surfin' CatDog,S02E28
2,29,Guess Who's Going to Be Dinner!,S02E29
2,30,The Ballad of Ol' 159,S02E30
2,31,Dog Power,S02E31
2,32,It's a Jungle in Here!,S02E32
2,33,The House of CatDog,S02E33
2,34,CatDog's Golden Hydrant,S02E34
2,35,Seeing Eye Cat,S02E35
2,36,Dog's Best Friend,S02E36
2,37,A Dog's Life,S02E37
2,38,CatDogula,S02E38
2,39,Talking Turkey,S02E39
2,40,Remain Seated,S02E40
2,41,CatDog Cops,S02E41
2,42,Let the Games Begin!,S02E42
2,43,The Geekers,S02E43
2,44,CatDog Loves Winslow,S02E44
2,45,The Sludge Monster,S02E45
2,46,A Mild Dog,S02E46
3,1,Silents, Please!,S03E01
3,2,Gorilla My Dreams,S03E02
3,3,Sweet and Lola,S03E03
3,4,Rich Shriek, Poor Shriek,S03E04
3,5,The Amazing Ray,S03E05
3,6,CatDog's Strange Trip,S03E06
3,7,CatDog and the Great Parent Mystery,S03E07
3,8,Rinky Dinks,S03E08
3,9,Hypno-Teased,S03E09
3,10,Monster Truck Folly,S03E10
3,11,The Most Unforgettable Christmas Ever,S03E11
3,12,CatDog and the Legend of the Parvocampus,S03E12
3,13,The Return of the CatDog,S03E13
3,14,Dog's Days of Summer,S03E14
3,15,A Tale of Two CatDogs,S03E15
3,16,Picture This,S03E16
3,17,Cat's Love Power,S03E17
3,18,A Near-Death Experience,S03E18
3,19,CatDog's New Mom,S03E19
3,20,A Hard Day's CatDog,S03E20
3,21,Vexed of Kin,S03E21
3,22,Meat, Dog's Friends,S03E22
