SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Operation: C.A.K.E.D.,S01E01
1,2,Kenny and the Chimp: Diseasy Does It,S01E02
1,3,No Potion for Old Men,S01E03
1,4,Operation: I.-S.C.R.E.A.M.,S01E04
1,5,Operation: C.A.N.N.O.N.,S01E05
1,6,Operation: N.O.-P.O.W.U.H.,S01E06
1,7,Operation: T.E.E.T.H.,S01E07
1,8,Operation: P.I.R.A.T.E.,S01E08
1,9,Operation: C.O.W.G.I.R.L.,S01E09
1,10,Operation: T.U.R.N.I.P.,S01E10
1,11,Operation: M.I.N.I.G.O.L.F.,S01E11
1,12,Operation: O.F.F.I.C.E.,S01E12
1,13,Operation: A.R.C.T.I.C.,S01E13
1,14,Operation: L.I.C.E.,S01E14
1,15,Operation: P.I.A.N.O.,S01E15
1,16,Operation: Z.O.O.,S01E16
1,17,Operation: Q.U.I.E.T.,S01E17
1,18,Operation: R.A.I.N.B.O.W.S.,S01E18
1,19,Operation: G.R.O.W.-U.P.,S01E19
2,1,Operation: C.A.T.S.,S02E01
2,2,Operation: P.O.P.,S02E02
2,3,Operation: S.P.A.N.K.,S02E03
2,4,Operation: S.U.P.P.O.R.T.,S02E04
2,5,Operation: T.A.P.I.O.C.A.,S02E05
2,6,Operation: M.O.V.I.E.,S02E06
2,7,Operation: F.A.S.T.-F.O.O.D.,S02E07
2,8,Operation: K.I.S.S.,S02E08
2,9,Operation: G.H.O.S.T.,S02E09
2,10,Operation: F.U.G.I.T.I.V.E.,S02E10
2,11,Operation: T.H.E.-S.H.O.G.U.N.,S02E11
2,12,Operation: C.O.L.L.E.G.E.,S02E12
2,13,Operation: R.E.P.O.R.T.,S02E13
2,14,Operation: B.R.I.E.F.,S02E14
2,15,Operation: C.A.K.E.D.-T.W.O.,S02E15
2,16,Operation: S.P.A.C.E.,S02E16
2,17,Operation: B.E.A.C.H.,S02E17
2,18,Operation: U.N.D.E.R.C.O.V.E.R.,S02E18
2,19,Operation: D.O.G.-F.I.G.H.T.,S02E19
2,20,Operation: T.R.I.P.,S02E20
2,21,Operation: E.N.D.,S02E21
3,1,Operation: F.U.T.U.R.E.,S03E01
3,2,Operation: A.F.L.O.A.T.,S03E02
3,3,Operation: L.E.A.D.E.R.,S03E03
3,4,Operation: U.T.O.P.I.A.,S03E04
3,5,Operation: R.O.B.B.E.R.S.,S03E05
3,6,Operation: F.O.U.N.T.A.I.N.,S03E06
3,7,Operation: B.U.T.T.,S03E07
3,8,Operation: T.R.A.I.N.I.N.G.,S03E08
3,9,Operation: A.R.C.H.I.V.E.,S03E09
3,10,Operation: S.L.U.M.B.E.R.,S03E10
3,11,Operation: P.I.N.K.E.Y.E.,S03E11
3,12,Operation: K.A.S.T.L.E.,S03E12
3,13,Operation: C.A.K.E.D.-T.H.R.E.E.,S03E13
3,14,Operation: L.O.C.K.D.O.W.N.,S03E14
3,15,Operation: G.R.A.D.U.A.T.E.S.,S03E15
4,1,Operation: G.I.A.N.T.,S04E01
4,2,Operation: S.H.A.V.E.,S04E02
4,3,Operation: O.U.T.B.R.E.A.K.,S04E03
4,4,Operation: C.A.M.P.,S04E04
4,5,Operation: T.O.M.M.Y.,S04E05
4,6,Operation: C.H.A.D.,S04E06
4,7,Operation: P.R.E.S.I.D.E.N.T.,S04E07
4,8,Operation: H.O.S.P.I.T.A.L.,S04E08
4,9,Operation: S.P.R.O.U.T.,S04E09
4,10,Operation: H.O.U.N.D.,S04E10
4,11,Operation: R.A.B.B.I.T.,S04E11
4,12,Operation: F.L.U.S.H.,S04E12
4,13,Operation: V.I.D.E.O.G.A.M.E.,S04E13
5,1,Operation: C.H.O.C.O.L.A.T.E.,S05E01
5,2,Operation: M.A.T.A.D.O.R.,S05E02
5,3,Operation: L.U.N.C.H.,S05E03
5,4,Operation: M.U.N.C.H.I.E.S.,S05E04
5,5,Operation: N.A.U.G.H.T.Y.,S05E05
5,6,Operation: E.L.E.C.T.I.O.N.S.,S05E06
5,7,Operation: D.U.C.K.Y.,S05E07
5,8,Operation: D.I.A.P.E.R.,S05E08
5,9,Operation: C.A.K.E.D.-F.O.U.R.,S05E09
5,10,Operation: S.I.T.T.E.R.,S05E10
5,11,Operation: S.A.T.U.R.N.,S05E11
5,12,Operation: Z.E.R.O.,S05E12
6,1,Operation: S.A.F.E.T.Y.,S06E01
6,2,Operation: E.N.G.L.A.N.D.,S06E02
6,3,Operation: A.W.A.R.D.S.,S06E03
6,4,Operation: L.I.C.O.R.I.C.E.,S06E04
6,5,Operation: H.O.M.E.,S06E05
6,6,Operation: I.T.,S06E06
6,7,Operation: C.A.K.E.D.-F.I.V.E.,S06E07
6,8,Operation: R.E.C.R.U.I.T.,S06E08
6,9,Operation: D.A.D.D.Y.,S06E09
6,10,Operation: C.L.O.W.N.,S06E10
6,11,Operation: S.P.R.O.U.T.,S06E11
6,12,Operation: H.O.T.S.T.U.F.F.,S06E12
6,13,Operation: M.A.U.R.I.C.E.,S06E13
6,14,Operation: L.O.V.E.,S06E14
6,15,Operation: C.O.U.C.H.,S06E15
6,16,Operation: G.I.R.L.F.R.I.E.N.D.,S06E16
6,17,Operation: T.R.E.A.T.Y.,S06E17
6,18,Operation: I.N.T.E.R.V.I.E.W.S.,S06E18
6,19,Operation: W.H.I.T.E.H.O.U.S.E.,S06E19
