SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,A Night at the Katz Motel,S01E01
1,2,Cajun Granny Stew,S01E02
1,3,The Shadow of Courage,S01E03
1,4,Dr. Le Quack, Amnesia Specialist,S01E04
1,5,Courage Meets Bigfoot,S01E05
1,6,Hothead,S01E06
1,7,The Demon in the Mattress,S01E07
1,8,Freaky Fred,S01E08
1,9,Night of the Weremole,S01E09
1,10,Mother's Day,S01E10
1,11,The Duck Brothers,S01E11
1,12,Shirley the Medium,S01E12
1,13,King Ramses' Curse,S01E13
1,14,The Clutching Foot,S01E14
1,15,The Hunchback of Nowhere,S01E15
1,16,The Gods Must Be Goosey,S01E16
1,17,Queen of the Black Puddle,S01E17
1,18,Everyone Wants to Direct,S01E18
1,19,The Snowman Cometh,S01E19
1,20,The Precious, Wonderful, Adorable, Lovable Duckling,S01E20
1,21,Heads of Beef,S01E21
1,22,Klub Katz,S01E22
1,23,The Revenge of the Chicken from Outer Space,S01E23
1,24,Journey to the Center of Nowhere,S01E24
1,25,Little Muriel,S01E25
1,26,The Great Fusilli,S01E26
2,1,The Magic Tree of Nowhere,S02E01
2,2,Robot Randy,S02E02
2,3,The Curse of Shirley,S02E03
2,4,Courage in the Big Stinkin' City,S02E04
2,5,Family Business,S02E05
2,6,1000 Years of Courage,S02E06
2,7,Courage Meets the Mummy,S02E07
2,8,Invisible Muriel,S02E08
2,9,Human Habitrail,S02E09
2,10,Mission to the Sun,S02E10
2,11,Katz Kandy,S02E11
2,12,Courage the Fly,S02E12
2,13,Nowhere TV,S02E13
2,14,Mega Muriel the Magnificent,S02E14
2,15,Bad Hair Day,S02E15
2,16,Forbidden Hat of Gold,S02E16
2,17,Serpent of Evil River,S02E17
2,18,The Transplant,S02E18
2,19,Car, Broke, Phone, Yes,S02E19
2,20,Cowboy Courage,S02E20
2,21,Evil Weevil,S02E21
2,22,McPhearson Phantom,S02E22
2,23,The House of Discontent,S02E23
2,24,The Sand Whale Strikes,S02E24
2,25,The Tower of Dr. Zalost,S02E25
3,1,Muriel Meets Her Match,S03E01
3,2,Courage vs. Mecha-Courage,S03E02
3,3,Campsite of Terror,S03E03
3,4,Record Deal,S03E04
3,5,Stormy Weather,S03E05
3,6,The Sandman Sleeps,S03E06
3,7,Hard Drive Courage,S03E07
3,8,The Ride of the Valkyries,S03E08
3,9,Scuba Scuba Doo,S03E09
3,10,Conway the Contaminationist,S03E10
3,11,Katz Under the Sea,S03E11
3,12,Curtain of Cruelty,S03E12
3,13,Feast of the Bullfrogs,S03E13
3,14,Tulip's Worm,S03E14
3,15,So in Louvres Are We Two,S03E15
3,16,Night of the Scarecrow,S03E16
3,17,Mondo Magic,S03E17
3,18,Watch the Birdies,S03E18
3,19,Fishy Business,S03E19
3,20,Angry Nasty People,S03E20
3,21,Dome of Doom,S03E21
3,22,Snowman's Revenge,S03E22
3,23,The Quilt Club,S03E23
3,24,Swindlin' Wind,S03E24
3,25,The King of Flan,S03E25
3,26,Courage Under the Volcano,S03E26
4,1,A Beaver's Tale,S04E01
4,2,The Nutcracker,S04E02
4,3,Rumpledkiltskin,S04E03
4,4,Housecalls,S04E04
4,5,Le Quack Balloon,S04E05
4,6,Windmill Vandals,S04E06
4,7,The Uncommon Cold,S04E07
4,8,Farmer-Hunter, Farmer-Hunted,S04E08
4,9,Bride of the Swamp Monster,S04E09
4,10,Goat Pain,S04E10
4,11,Muriel Blows Up,S04E11
4,12,Profiles in Courage,S04E12
4,13,The Mask,S04E13
4,14,Squatting Tiger, Hidden Dog,S04E14
4,15,Muted Muriel,S04E15
4,16,Aqua-Farmer,S04E16
4,17,Food of the Dragon,S04E17
4,18,The Last of the Starmakers,S04E18
4,19,Son of the Chicken from Outer Space,S04E19
4,20,Courageous Cure,S04E20
4,21,Ball of Revenge,S04E21
4,22,Cabaret Courage,S04E22
4,23,Wrath of the Librarian,S04E23
4,24,Remembrance of Courage Past,S04E24
4,25,Perfect,S04E25
