SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Field Trip to Folsom Prison,S01E01
1,2,The Girl's Bathroom,S01E02
1,3,I Am Weasel: This Bridge, Not Weasel Bridge,S01E03
1,4,Supermodel Cow,S01E04
1,5,Part Time Job,S01E05
1,6,I Am Weasel: I.R. on His First Date,S01E06
1,7,Alive!,S01E07
1,8,Who is Supercow?,S01E08
1,9,I Am Weasel: I Am Ambassador,S01E09
1,10,Confused,S01E10
1,11,The Molting Fairy,S01E11
1,12,I Am Weasel: I.R.'s First Bike,S01E12
1,13,The Ugliest Weenie,S01E13
1,14,The Ugliest Weenie Part 2,S01E14
1,15,I Am Weasel: The Magnificent Motorbikini,S01E15
1,16,Crash Dive,S01E16
1,17,Happy Meat,S01E17
1,18,I Am Weasel: I Am My Lifetime,S01E18
1,19,School Bully,S01E19
1,20,Time Machine,S01E20
1,21,I Am Weasel: My Friend, the Smart Banana,S01E21
1,22,Orthodontic Police,S01E22
1,23,Cow with Four Eyes,S01E23
1,24,I Am Weasel: I.R. Pixie Fairie,S01E24
1,25,Cow's Instincts... Don't It?,S01E25
1,26,Ballerina Cow,S01E26
1,27,I Am Weasel: I.R. in Wrong Cartoon,S01E27
1,28,Chicken's First Kiss,S01E28
1,29,Squirt the Daisies,S01E29
1,30,I Am Weasel: I Stand Corrected,S01E30
1,31,Lawnchair Fairy,S01E31
1,32,A Couple of Skating Fools,S01E32
1,33,I Am Weasel: I Am Whale Captain,S01E33
1,34,The Longest Weekend,S01E34
1,35,He Wears Cheese?,S01E35
1,36,I Am Weasel: I Am Cliched,S01E36
1,37,Space Cow,S01E37
1,38,The Legend of Sailcat,S01E38
1,39,I Am Weasel: I Are Big Star,S01E39
2,1,Headhunting in Oregon,S02E01
2,2,The King and Queen of Cheese,S02E02
2,3,I Am Weasel: Power of the Tongue,S02E03
2,4,Fluffy the Anaconda,S02E04
2,5,The Laughing Puddle,S02E05
2,6,I Am Weasel: I.R. Gentlemans,S02E06
2,7,Pirate Lessons,S02E07
2,8,Halloween with Dead Ghost, Coast to Coast,S02E08
2,9,I Am Weasel: I Are a Artiste,S02E09
2,10,Tongue Sandwich,S02E10
2,11,Dream Date Chicken,S02E11
2,12,I Am Weasel: A Troo Storee,S02E12
2,13,Sumo Cow,S02E13
2,14,Comet!,S02E14
2,15,I Am Weasel: I Are a Farmer,S02E15
2,16,Dirty Laundry,S02E16
2,17,Grizzly Beaver Safari,S02E17
2,18,I Am Weasel: I Am a Baby Sitter,S02E18
2,19,Boneless Kite,S02E19
2,20,Which Came First,S02E20
2,21,I Am Weasel: I Am a Tooth Fairy,S02E21
2,22,Buffalo Gals,S02E22
2,23,Cow and Chicken Reclining,S02E23
2,24,I Am Weasel: I Am Crybaby,S02E24
2,25,Free Inside,S02E25
2,26,Journey to the Center of Cow,S02E26
2,27,I Am Weasel: I.R.'s Phantom Foot,S02E27
2,28,The Karate Chick,S02E28
2,29,Yard Sale,S02E29
2,30,I Am Weasel: Queen of DeNile,S02E30
2,31,Meet Lance Sackless,S02E31
2,32,Who's Afraid of the Dark?,S02E32
2,33,I Am Weasel: I Are a Penguin,S02E33
2,34,The Bad News Plastic Surgeons,S02E34
2,35,The Exchange Student,S02E35
2,36,I Am Weasel: I Are a Wreck-It,S02E36
2,37,Child Star,S02E37
2,38,Perpetual Energy,S02E38
2,39,I Am Weasel: I Are a Movie Star,S02E39
3,1,Sow and Chicken,S03E01
3,2,Me an' My Dog,S03E02
3,3,Cow's Dream Catcher,S03E03
3,4,Grandma at the Mall,S03E04
3,5,Chicken in the Bathroom,S03E05
3,6,Chickens Don't Fly,S03E06
3,7,P.E.,S03E07
3,8,Playin' Hooky,S03E08
3,9,The Day I Was Born,S03E09
3,10,Factory Follies,S03E10
3,11,101 Uses for Cow and Chicken,S03E11
3,12,Intelligent Life?,S03E12
3,13,Be Careful What You Wish For,S03E13
3,14,Lost at Sea,S03E14
3,15,Night of the Ed,S03E15
3,16,Cow's Pies,S03E16
3,17,Professor Longhorn Steer,S03E17
3,18,A Couple of Skating Fools,S03E18
3,19,The Full Mounty,S03E19
3,20,Mall Cop,S03E20
3,21,Cow's Toys,S03E21
3,22,I Scream Man,S03E22
3,23,Cloud Nine,S03E23
3,24,Send in the Clowns,S03E24
3,25,The Big Move,S03E25
3,26,Cow's Magic Blanket,S03E26
4,1,The Cow and Chicken Blues,S04E01
4,2,The Ballad of Cow and Chicken,S04E02
4,3,Cow's Horse,S04E03
4,4,Red Butler,S04E04
4,5,Cow's A Beauty,S04E05
4,6,Piano Lessons,S04E06
4,7,Duck, Duck, Chicken,S04E07
4,8,The Great Pantzini,S04E08
4,9,The Cow and Chicken Show,S04E09
4,10,Who's a Big Red Guy?,S04E10
4,11,Sergeant Weenie Arms,S04E11
4,12,Snail Boy,S04E12
4,13,The Penalty Wheel,S04E13
4,14,Invisible Cow,S04E14
4,15,Monster in the Closet,S04E15
4,16,Chicken's Fairy Tale,S04E16
4,17,Magic Chicken,S04E17
4,18,Major Wedgie,S04E18
4,19,The Loneliest Cow,S04E19
4,20,Cow's Belch,S04E20
4,21,The End,S04E21
4,22,Doink,S04E22
4,23,Black Sheep of the Family,S04E23
4,24,The Babysitter,S04E24
4,25,The Go-Go Cart,S04E25
4,26,The Chicken's A Ghost!,S04E26
