SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,The Ed-touchables,S01E01
1,2,Nagged to Ed,S01E02
1,3,Pop Goes the Ed,S01E03
1,4,Over Your Ed,S01E04
1,5,Sir Ed-a-Lot,S01E05
1,6,A Pinch to Grow an Ed,S01E06
1,7,Dawn of the Eds,S01E07
1,8,Virt-Ed-Go,S01E08
1,9,Read All About Ed,S01E09
1,10,Quick Shot Ed,S01E10
1,11,An Ed Too Many,S01E11
1,12,Ed-n-Seek,S01E12
1,13,Look Into My Eds,S01E13
1,14,Tag Yer Ed,S01E14
1,15,Fool on the Ed,S01E15
1,16,A Boy and His Ed,S01E16
1,17,It's Way Ed,S01E17
1,18,Laugh Ed Laugh,S01E18
1,19,A Glass of Warm Ed,S01E19
1,20,Flea-Bitten Ed,S01E20
1,21,Who, What, Where, Ed!,S01E21
1,22,Keeping Up with the Eds,S01E22
1,23,Ed's Got the Mumps,S01E23
1,24,For Your Ed Only,S01E24
1,25,Mirror, Mirror, on the Ed,S01E25
1,26,Hot Buttered Ed,S01E26
2,1,Eeny, Meeny, Miney, Ed,S02E01
2,2,Ready, Set... Ed!,S02E02
2,3,Knock Knock, Who's Ed?,S02E03
2,4,One + One = Ed,S02E04
2,5,Know-It-All Ed,S02E05
2,6,Dear Ed,S02E06
2,7,Scrambled Ed,S02E07
2,8,Urban Ed,S02E08
2,9,Stop, Look and Ed,S02E09
2,10,Rent-a-Ed,S02E10
2,11,Shoo Ed,S02E11
2,12,Ed in a Halfshell,S02E12
2,13,To Sir with Ed,S02E13
2,14,Key to My Ed,S02E14
2,15,Honor Thy Ed,S02E15
2,16,Scrambled Ed,S02E16
2,17,Cry Ed,S02E17
2,18,Rambling Ed,S02E18
2,19,Home Cooked Ed,S02E19
2,20,O-Ed-Eleven,S02E20
2,21,The Luck of the Ed,S02E21
2,22,Ed, Pass It On...,S02E22
2,23,Brother, Can You Spare an Ed?,S02E23
2,24,The Day the Ed Stood Still,S02E24
2,25,If It Smells Like an Ed,S02E25
2,26,Take This Ed and Shove It,S02E26
3,1,Mission Ed-Possible,S03E01
3,2,Every Which Way but Ed,S03E02
3,3,Don't Rain on My Ed,S03E03
3,4,Once Bitten, Twice Ed,S03E04
3,5,One Size Fits Ed,S03E05
3,6,Pain in the Ed,S03E06
3,7,An Ed in the Bush,S03E07
3,8,See No Ed,S03E08
3,9,Is There an Ed in the House?,S03E09
3,10,An Ed is Born,S03E10
3,11,It Came from Outer Ed,S03E11
3,12,3 Squares and an Ed,S03E12
3,13,Dueling Eds,S03E13
3,14,Dim Lit Ed,S03E14
3,15,Will Work for Ed,S03E15
3,16,Ed, Ed and Away,S03E16
3,17,X Marks the Ed,S03E17
3,18,From Here to Ed,S03E18
3,19,Ed or Tails,S03E19
3,20,My Fair Ed,S03E20
3,21,Rock-a-Bye-Ed,S03E21
3,22,Once Upon an Ed,S03E22
3,23,For the Ed, by the Ed,S03E23
3,24,Little Ed Blue,S03E24
3,25,A Twist of Ed,S03E25
4,1,Stiff Upper Ed,S04E01
4,2,Here's Mud in Your Ed,S04E02
4,3,Stuck in Ed,S04E03
4,4,Postcards from the Ed,S04E04
4,5,Robbin' Ed,S04E05
4,6,A Case of Ed,S04E06
4,7,Hand Me Down Ed,S04E07
4,8,Run for Your Ed,S04E08
4,9,Button Yer Ed,S04E09
4,10,Avast Ye Eds,S04E10
4,11,See No Ed,S04E11
4,12,Gimme Gimme Never Ed,S04E12
4,13,My Fair Ed,S04E13
4,14,The Good, the Bad and the Ed,S04E14
4,15,Thick as an Ed,S04E15
4,16,Sorry, Wrong Ed,S04E16
4,17,A Room with an Ed,S04E17
4,18,Your Ed Here,S04E18
4,19,The Good Ol' Ed,S04E19
4,20,They're a Comin', They're a Comin', the Eds are Comin'!,S04E20
4,21,An Ed in the Bush,S04E21
4,22,One of Those Eds,S04E22
4,23,Ed, Edd n Eddy's Jingle Jingle Jangle,S04E23
5,1,Wish You Were Ed,S05E01
5,2,Momma's Little Ed,S05E02
5,3,Once Upon an Ed,S05E03
5,4,For Your Ed Only,S05E04
5,5,It's Good to be Queen,S05E05
5,6,In Like Ed,S05E06
5,7,Mission Ed-Possible,S05E07
5,8,Every Which Way but Ed,S05E08
5,9,Boom Boom Out Goes the Ed,S05E09
5,10,Cleanliness is Next to Edness,S05E10
5,11,Out with the Old, in with the Ed,S05E11
5,12,I Am Curious Ed,S05E12
5,13,No-Speak Da Ed,S05E13
5,14,Cool Hand Ed,S05E14
5,15,Too Smart for His Own Ed,S05E15
5,16,Who's Minding the Ed?,S05E16
5,17,Pick an Ed,S05E17
5,18,Truth or Ed,S05E18
5,19,This Won't Hurt an Ed,S05E19
5,20,Tinker Ed,S05E20
5,21,The Good, the Bad and the Ed,S05E21
5,22,Tight End Ed,S05E22
5,23,'Tween a Rock and an Ed Place,S05E23
5,24,All Eds are Off,S05E24
5,25,Smile for the Ed,S05E25
5,26,Run Ed Run,S05E26
5,27,A Town Called Ed,S05E27
5,28,A Fistful of Ed,S05E28
5,29,The Eds are Coming,S05E29
5,30,Ed, Edd n Eddy's Hanky Panky Hullabaloo,S05E30
5,31,Ed, Edd n Eddy's Boo Haw Haw,S05E31
6,1,May I Have This Ed?,S06E01
6,2,Look Before You Ed,S06E02
