SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,The Nightmare Begins,S01E01
1,2,Bestest Friend,S01E02
1,3,NanoZim,S01E03
1,4,Parent Teacher Night,S01E04
1,5,Walk of Doom,S01E05
1,6,Germs,S01E06
1,7,Dark Harvest,S01E07
1,8,Attack of the Saucer Morons,S01E08
1,9,The Wettening,S01E09
1,10,Career Day,S01E10
1,11,Battle-Dib,S01E11
1,12,Planet Jackers,S01E12
1,13,Rise of the Zitboy,S01E13
1,14,Invasion of the Idiot Dog Brain,S01E14
1,15,"Bad, Bad Rubber Piggy",S01E15
1,16,A Room with a Moose,S01E16
1,17,Hamstergeddon,S01E17
1,18,Plague of Babies,S01E18
1,19,Bloaty's Pizza Hog,S01E19
1,20,Door to Door,S01E20
1,21,FBI Warning of Doom,S01E21
1,22,Bolognius Maximus,S01E22
1,23,Game Slave 2,S01E23
1,24,The Frycook What Came from All That Space,S01E24
1,25,The Girl Who Cried Gnome,S01E25
1,26,Dib's Wonderful Life of Doom,S01E26
1,27,Vindicated!,S01E27
1,28,The Voting of the Doomed,S01E28
1,29,"Gaz, Taster of Pork",S01E29
1,30,Hobo 13,S01E30
1,31,Walk for Your Lives,S01E31
1,32,Megadoomer,S01E32
1,33,Lice,S01E33
1,34,Abducted,S01E34
1,35,"The Sad, Sad Tale of Chickenfoot",S01E35
1,36,GIR Goes Crazy and Stuff,S01E36
1,37,Dib's Wonderful Life of Doom,S01E37
1,38,Tak: The Hideous New Girl,S01E38
2,1,Backseat Drivers from Beyond the Stars,S02E01
2,2,Mortos der Soulstealer,S02E02
2,3,Zim Eats Waffles,S02E03
2,4,The Girl Who Cried Gnome,S02E04
2,5,Dibship Rising,S02E05
2,6,Vindicated!,S02E06
2,7,The Voting of the Doomed,S02E07
2,8,"Gaz, Taster of Pork",S02E08
2,9,The Most Horrible X-Mas Ever,S02E09
2,10,The Frycook What Came from All That Space,S02E10
2,11,The Abductor,S02E11
2,12,"The Sad, Sad Tale of Chickenfoot",S02E12
2,13,GIR Goes Crazy and Stuff,S02E13
2,14,Dib's Wonderful Life of Doom,S02E14
2,15,Tak: The Hideous New Girl,S02E15
2,16,The Halloween Spectacular of Spooky Doom,S02E16
2,17,The Indecisive Battle of Futility,S02E17
2,18,The Unexplained,S02E18
2,20,Ten Minutes to Doom,S02E20
