SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Johnny Bravo,S01E01
1,2,Jungle Boy in "Mr. Monkeyman,S01E02
1,3,Johnny Bravo and the Amazon Women,S01E03
1,4,Super Duped,S01E04
1,5,Bungled in the Jungle,S01E05
1,6,Bearly Enough Time,S01E06
1,7,The Sensitive Male,S01E07
1,8,Bravo Dooby-Doo,S01E08
1,9,Date with an Antelope,S01E09
1,10,Did You See a Bull Run by Here?,S01E10
1,11,Cookie Crisis,S01E11
1,12,I Used to Be Funny,S01E12
1,13,My Fair Dork,S01E13
1,14,'Twas the Night,S01E14
1,15,Blarney Buddies,S01E15
1,16,Over the Hump!,S01E16
1,17,Johnny Meets Farrah Fawcett,S01E17
1,18,Hip-Hop Flop,S01E18
1,19,Talk to Me, Baby,S01E19
1,20,Blanky Hanky Panky,S01E20
1,21,Beach Blanket Bravo,S01E21
1,22,The Day the Earth Didn't Move Around Very Much,S01E22
1,23,The Aisle of Mixed-Up Toys,S01E23
1,24,Substitute Teacher,S01E24
1,25,A Wolf in Chick's Clothing,S01E25
1,26,Intensive Care,S01E26
1,27,Karate Choppers,S01E27
1,28,Jumbo Johnny,S01E28
1,29,The Perfect Gift,S01E29
1,30,Bravo, James Bravo,S01E30
1,31,Going Batty,S01E31
1,32,Berry the Butler,S01E32
1,33,Red Riding Johnny,S01E33
1,34,The Prince and the Pinhead,S01E34
1,35,Claws!,S01E35
1,36,Cover Boy Johnny,S01E36
1,37,To Helga and Back,S01E37
1,38,Moby Jerk,S01E38
1,39,A Gel for Johnny,S01E39
2,1,Bikini Space Planet,S02E01
2,2,Moby Jerk,S02E02
2,3,A Gel for Johnny,S02E03
2,4,Johnny Get Your Tutu,S02E04
2,5,Johnny's Inferno,S02E05
2,6,Forest Chump,S02E06
2,7,Karma Krisis,S02E07
2,8,A Star Is Bruised,S02E08
2,9,The Prince and the Pinhead,S02E09
2,10,Claws!,S02E10
2,11,Cover Boy Johnny,S02E11
2,12,To Helga and Back,S02E12
2,13,Endless Bummer,S02E13
2,14,Jailbird Johnny,S02E14
2,15,Bravo 13,S02E15
2,16,Doomates,S02E16
2,17,Johnny's Telethon,S02E17
2,18,Johnny's Guardian Angel,S02E18
2,19,I, Fly,S02E19
2,20,Schnook of the North,S02E20
2,21,Charm School Johnny,S02E21
2,22,Johnny and the Beanstalk,S02E22
2,23,A Boy and His Bird,S02E23
2,24,Ape Is Enough,S02E24
2,25,Pinky and the Crab,S02E25
2,26,Johnny's Sensitive Side,S02E26
2,27,Panic in Jerky Town,S02E27
2,28,Alien Confidential,S02E28
2,29,Mama's New Boyfriend,S02E29
2,30,Welcome to Ramdovia,S02E30
2,31,The Lone Chipmunk,S02E31
2,32,Johnny Goes to Camp,S02E32
2,33,A League of His Own,S02E33
2,34,Buffoon Lagoon,S02E34
2,35,Johnny Goes to College,S02E35
2,36,Johnny's Supermarket Boutique,S02E36
2,37,A-Tom-inable Johnny,S02E37
2,38,Johnny's Underground Adventure,S02E38
2,39,The Johnny Bravo Affair,S02E39
2,40,Dude Ranch Doofus,S02E40
2,41,A Cake Too Far,S02E41
2,42,Look Who's Drooling,S02E42
2,43,The Good, the Bad, and the Beefy,S02E43
2,44,A Boy and His Bunny,S02E44
2,45,The Unbravo,S02E45
2,46,The Johnny Bravo Holiday Special,S02E46
3,1,The Island of Mrs. Morceau,S03E01
3,2,The Colour of Mustard,S03E02
3,3,Third Dork from the Sun,S03E03
3,4,The Hansel and Gretel Project,S03E04
3,5,I.Q. Johnny,S03E05
3,6,Get Stinky,S03E06
3,7,Lord of the Links,S03E07
3,8,Bootman,S03E08
3,9,Freudian Feud,S03E09
3,10,A Walk on the Stupid Side,S03E10
3,11,Lone Star Bravo,S03E11
3,12,Toy Boy Johnny,S03E12
3,13,The Great Bunny Book Ban,S03E13
3,14,Enter the Chipmunk,S03E14
3,15,Frankenbravo,S03E15
3,16,The Johnny Bravo Musical,S03E16
3,17,What's Shakin',S03E17
3,18,The Abominable Snow-Johnny,S03E18
3,19,A Johnny Bravo Christmas,S03E19
4,1,Johnny Bravo Goes to Hollywood,S04E01
4,2,Traffic Troubles,S04E02
4,3,My Funny Looking Friend,S04E03
4,4,Win an El Toro Guapo,S04E04
4,5,Witch-ay Woman,S04E05
4,6,Home Alone,S04E06
4,7,Miniature Golf,S04E07
4,8,Johnny's Reunion,S04E08
4,9,Good Knight Johnny,S04E09
4,10,Lumberjack Johnny,S04E10
4,11,Auteur! Auteur!,S04E11
4,12,Runaway Train,S04E12
4,13,The Final Episode,S04E13
4,14,It's a Magical Life,S04E14
4,15,The Hunk at the End of This Cartoon,S04E15
4,16,The Time of My Life,S04E16
4,17,A Johnny Bravo Valentine,S04E17
