SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Rollercoaster,S01E01
1,2,Lawn Gnome Beach Party of Terror,S01E02
1,3,Flop Starz,S01E03
1,4,The Fast and the Phineas,S01E04
1,5,"Lights, Candace, Action!",S01E05
1,6,Raging Bully,S01E06
1,7,Candace Loses Her Head,S01E07
1,8,"I, Brobot",S01E08
1,9,Run Away Runway,S01E09
1,10,The Magnificent Few,S01E10
1,11,S'Winter,S01E11
1,12,Jerk De Soleil,S01E12
1,13,Are You My Mummy?,S01E13
1,14,Ready for the Bettys,S01E14
1,15,"I Scream, You Scream",S01E15
1,16,Toy to the World,S01E16
1,17,Get That Bigfoot Outta My Face!,S01E17
1,18,"It's a Mud, Mud, Mud, Mud World",S01E18
1,19,Mom's Birthday,S01E19
1,20,Journey to the Center of Candace,S01E20
1,21,It's About Time!,S01E21
1,22,"Dude, We're Getting the Band Back Together",S01E22
1,23,Tree to Get Ready,S01E23
1,24,The Ballad of Badbeard,S01E24
1,25,Greece Lightning,S01E25
1,26,Leave the Busting to Us!,S01E26
1,27,Crack That Whip,S01E27
1,28,The Best Lazy Day Ever,S01E28
1,29,"Boyfriend from 27,000 B.C.",S01E29
1,30,Voyage to the Bottom of Buford,S01E30
1,31,A Hard Day's Knight,S01E31
1,32,"I, Brobot",S01E32
1,33,Traffic Cam Caper,S01E33
1,34,Bowl-R-Ama Drama,S01E34
1,35,Got Game?,S01E35
1,36,Comet Kermillian,S01E36
1,37,Put That Putter Away,S01E37
1,38,Does This Duckbill Make Me Look Fat?,S01E38
1,39,The Flying Fishmonger,S01E39
1,40,One Good Scare Ought to Do It!,S01E40
1,41,The Monster of Phineas-n-Ferbenstein,S01E41
1,42,Oil on Candace,S01E42
1,43,Out of Toon,S01E43
1,44,Hail Doofania!,S01E44
1,45,Out to Launch,S01E45
1,46,Phineas and Ferb Get Busted!,S01E46
1,47,Unfair Science Fair,S01E47
1,48,Unfair Science Fair Redux (Another Story),S01E48
2,1,The Lake Nose Monster,S02E01
2,2,Interview with a Platypus,S02E02
2,3,Tip of the Day,S02E03
2,4,Attack of the 50 Foot Sister,S02E04
2,5,Backyard Aquarium,S02E05
2,6,Day of the Living Gelatin,S02E06
2,7,"Elementary, My Dear Stacy",S02E07
2,8,Don't Even Blink,S02E08
2,9,Chez Platypus,S02E09
2,10,Perry Lays an Egg,S02E10
2,11,Gaming the System,S02E11
2,12,The Chronicles of Meap,S02E12
2,13,Thaddeus and Thor,S02E13
2,14,De Plane! De Plane!,S02E14
2,15,Let's Take a Quiz,S02E15
2,16,At the Car Wash,S02E16
2,17,"Oh, There You Are, Perry",S02E17
2,18,Swiss Family Phineas,S02E18
