SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,The Power,S01E01
1,2,Just Set Up the Chairs,S01E02
1,3,Caffeinated Concert Tickets,S01E03
1,4,Death Punchies,S01E04
1,5,Free Cake,S01E05
1,6,Meat Your Maker,S01E06
1,7,Grilled Cheese Deluxe,S01E07
1,8,The Unicorns Have Got to Go,S01E08
1,9,Prank Callers,S01E09
1,10,Don,S01E10
1,11,Rigby's Body,S01E11
1,12,Mordecai and the Rigbys,S01E12
2,1,Ello Gov'nor,S02E01
2,2,It's Time,S02E02
2,3,Appreciation Day,S02E03
2,4,Peeps,S02E04
2,5,Dizzy,S02E05
2,6,My Mom,S02E06
2,7,High Score,S02E07
2,8,Rage Against the TV,S02E08
2,9,Party Pete,S02E09
2,10,Brain Eraser,S02E10
2,11,Benson Be Gone,S02E11
2,12,But I Have a Receipt,S02E12
2,13,This Is My Jam,S02E13
2,14,The Night Owl,S02E14
2,15,A Bunch of Baby Ducks,S02E15
2,16,More Smarter,S02E16
2,17,First Day,S02E17
2,18,Go Viral,S02E18
2,19,Skunked,S02E19
2,20,Karaoke Video,S02E20
2,21,Grave Sights,S02E21
2,22,Really Real Wrestling,S02E22
2,23,Over the Top,S02E23
2,24,The Night Owl,S02E24
2,25,A Bunch of Full Grown Geese,S02E25
2,26,In the House,S02E26
2,27,The Dome Experiment,S02E27
2,28,Jinx,S02E28
2,29,See You There,S02E29
2,30,Do Me a Solid,S02E30
2,31,Butt Dial,S02E31
2,32,The Postcard,S02E32
2,33,Rigby's In the Hat,S02E33
2,34,Bet to Be Blonde,S02E34
2,35,Skips Strikes,S02E35
2,36,Camping Can Be Cool,S02E36
2,37,Slam Dunk,S02E37
2,38,Cool Bikes,S02E38
2,39,House Rules,S02E39
2,40,Rap It Up,S02E40
3,1,Stick Hockey,S03E01
3,2,Bet to Be Blonde,S03E02
3,3,Skips Strikes,S03E03
3,4,Terror Tales of the Park,S03E04
3,5,Camping Can Be Cool,S03E05
3,6,Slam Dunk,S03E06
3,7,Cool Bikes,S03E07
3,8,House Rules,S03E08
3,9,Rap It Up,S03E09
3,10,Cruisin,S03E10
3,11,Under the Hood,S03E11
3,12,Weekend at Benson's,S03E12
3,13,Fortune Cookie,S03E13
3,14,Think Positive,S03E14
3,15,Skips vs. Technology,S03E15
3,16,Butt Dial,S03E16
3,17,Eggscellent,S03E17
3,18,Gut Model,S03E18
3,19,Video Game Wizards,S03E19
3,20,Big Winner,S03E20
3,21,The Best Burger in the World,S03E21
3,22,Replaced,S03E22
3,23,Trash Boat,S03E23
3,24,Fists of Justice,S03E24
3,25,Yes Dude Yes,S03E25
3,26,Busted Cart,S03E26
3,27,Dead at Eight,S03E27
3,28,Access Denied,S03E28
3,29,Muscle Mentor,S03E29
3,30,Trucker Hall of Fame,S03E30
3,31,Out of Commission,S03E31
3,32,Fancy Restaurant,S03E32
3,33,Diary,S03E33
3,34,The Best VHS in the World,S03E34
3,35,Prankless,S03E35
3,36,Death Bear,S03E36
3,37,Fuzzy Dice,S03E37
3,38,Sugar Rush,S03E38
3,39,Bad Kiss,S03E39
4,1,Exit 9B,S04E01
4,2,Terror Tales of the Park II,S04E02
4,3,Starter Pack,S04E03
4,4,The Christmas Special,S04E04
4,5,T.G.I. Tuesday,S04E05
4,6,Firework Run,S04E06
4,7,The Longest Weekend,S04E07
4,8,Sandwich of Death,S04E08
4,9,Ace Balthazar Lives,S04E09
4,10,Do or Diaper,S04E10
4,11,Quips,S04E11
4,12,Caveman,S04E12
4,13,That's My Television,S04E13
4,14,A Bunch of Stiff,S04E14
4,15,Guy's Night,S04E15
4,16,One Pull Up,S04E16
4,17,The Heart of a Stuntman,S04E17
4,18,New Year's Kiss,S04E18
