SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,No Pain, No Gain,S01E01
1,2,Who Gives a Buck?,S01E02
1,3,Leap Frogs,S01E03
1,4,Bedfellows,S01E04
1,5,Jet Scream,S01E05
1,6,Dirty Dog,S01E06
1,7,Keeping Up with the Bigheads,S01E07
1,8,Skid Marks,S01E08
1,9,Power Trip,S01E09
1,10,To Heck and Back,S01E10
1,11,The Good, the Bad, and the Wallaby,S01E11
1,12,Trash-O-Madness,S01E12
1,13,Spitballs,S01E13
1,14,Popcorn Pandemonium,S01E14
1,15,A Sucker for the Suck-O-Matic,S01E15
1,16,Canned,S01E16
1,17,Carnival Knowledge,S01E17
1,18,Sand in Your Navel,S01E18
1,19,Cabin Fever,S01E19
1,20,Rinse and Spit,S01E20
1,21,Rocko's Happy Sack,S01E21
1,22,Flu-In-U-Enza,S01E22
1,23,Who's for Dinner?,S01E23
1,24,Love Spanked,S01E24
1,25,Clean Lovin',S01E25
1,26,Unbalanced Load,S01E26
2,1,I Have No Son!,S02E01
2,2,Pipe Dreams,S02E02
2,3,Tickled Pinky,S02E03
2,4,The Spiffheads,S02E04
2,5,Boob Tubed,S02E05
2,6,Commuted Sentence,S02E06
2,7,Rocko's Modern Christmas,S02E07
2,8,Hut Sut Raw,S02E08
2,9,Kiss Me, I'm Foreign,S02E09
2,10,Cruisin',S02E10
2,11,Down the Hatch,S02E11
2,12,Road Rash,S02E12
2,13,Junk Junkies,S02E13
2,14,Day of the Flecko,S02E14
2,15,Snowballs,S02E15
2,16,Frog's Best Friend,S02E16
2,17,Short Story,S02E17
2,18,Eyes Capped,S02E18
3,1,Bye, Bye, Birdie,S03E01
3,2,Belch of Destiny,S03E02
3,3,The Emperor's New Joe,S03E03
3,4,Schnit-Heads,S03E04
3,5,Sugar-Frosted Frights,S03E05
3,6,Ed Is Dead: A Thriller!,S03E06
3,7,Fish-N-Chumps,S03E07
3,8,Camera Shy,S03E08
3,9,Nothing to Sneeze At,S03E09
3,10,Old Fogey Froggy,S03E10
3,11,Manic Mechanic,S03E11
3,12,Rocko's Happy Vermin,S03E12
3,13,I See London, I See France,S03E13
3,14,The Fat Lands,S03E14
3,15,Fortune Cookie,S03E15
3,16,Dear John,S03E16
3,17,Speaking Terms,S03E17
3,18,Tooth and Nail,S03E18
3,19,Wacky Delly,S03E19
3,20,The Big Question,S03E20
3,21,The Big Answer,S03E21
3,22,An O-Town Christmas,S03E22
3,23,Sailing the 7 Zzz's,S03E23
3,24,Pranksters,S03E24
3,25,From Here to Maternity,S03E25
3,26,Ed Good, Rocko Bad,S03E26
4,1,With Friends Like These,S04E01
4,2,Sailing the 7 Zzz's,S04E02
4,3,Pranksters,S04E03
4,4,From Here to Maternity,S04E04
4,5,Ed Good, Rocko Bad,S04E05
4,6,Teed Off,S04E06
4,7,Wimp on the Barby,S04E07
4,8,Yarnbenders,S04E08
4,9,Mama's Boy,S04E09
4,10,Feisty Geist,S04E10
4,11,S.W.A.K.,S04E11
4,12,Magic Meatball,S04E12
4,13,Closet Clown,S04E13
4,14,Seat to Stardom,S04E14
4,15,The High Five of Doom,S04E15
4,16,Fly Burgers,S04E16
4,17,Heff in a Handbasket,S04E17
4,18,Wallaby on Wheels,S04E18
4,19,Dumbells,S04E19
4,20,Rug Birds,S04E20
4,21,Hypno-Puppy Luv,S04E21
4,22,Driving Mrs. Wolfe,S04E22
4,23,Put to Pasture,S04E23
4,24,Future Schlock,S04E24
4,25,Turkey Time,S04E25
4,26,Floundering Fathers,S04E26
