SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Tommy's First Birthday,S01E01
1,2,Barbecue Story,S01E02
1,3,Waiter, There's a Baby in My Soup,S01E03
1,4,At the Movies,S01E04
1,5,Slumber Party,S01E05
1,6,Baby Commercial,S01E06
1,7,Little Dude,S01E07
1,8,Beauty Contest,S01E08
1,9,Baseball,S01E09
1,10,Ruthless Tommy,S01E10
1,11,Moose Country,S01E11
1,12,Grandpa's Teeth,S01E12
1,13,Momma Trauma,S01E13
1,14,Real or Robots?,S01E14
1,15,Special Delivery,S01E15
1,16,Candy Bar Creep Show,S01E16
1,17,Monster in the Garage,S01E17
1,18,Weaning Tommy,S01E18
1,19,Incident in Aisle Seven,S01E19
1,20,Touchdown Tommy,S01E20
1,21,The Trial,S01E21
1,22,Fluffy vs. Spike,S01E22
1,23,Reptar's Revenge,S01E23
1,24,Graham Canyon,S01E24
1,25,Stu-Maker's Elves,S01E25
2,1,Toy Palace,S02E01
2,2,Sand Ho!,S02E02
2,3,Chuckie vs. the Potty,S02E03
2,4,Together at Last,S02E04
2,5,The Big House,S02E05
2,6,The Shot,S02E06
2,7,Showdown at Teeter Totter Gulch,S02E07
2,8,Mirrorland,S02E08
2,9,Angelica's In Love,S02E09
2,10,Ice Cream Mountain,S02E10
2,11,Regarding Stuie,S02E11
2,12,Garage Sale,S02E12
2,13,Let There Be Light,S02E13
2,14,The Bank Trick,S02E14
2,15,Family Reunion,S02E15
2,16,Grandpa's Date,S02E16
2,17,No Bones About It,S02E17
2,18,Beach Blanket Babies,S02E18
2,19,Reptar on Ice,S02E19
2,20,Family Feud,S02E20
2,21,Superhero Chuckie,S02E21
2,22,The Dog Broomer,S02E22
2,23,Aunt Miriam,S02E23
2,24,The Inside Story,S02E24
2,25,A Visit From Lipschitz,S02E25
2,26,What the Big People Do,S02E26
2,27,The Santa Experience,S02E27
2,28,Visitors from Outer Space,S02E28
2,29,The Case of the Missing Rugrat,S02E29
2,30,Chuckie Loses His Glasses,S02E30
2,31,Chuckie Gets Skunked,S02E31
2,32,Rebel Without a Teddy Bear,S02E32
2,33,Angelica the Magnificent,S02E33
2,34,Meet the Carmichaels,S02E34
2,35,The Box,S02E35
2,36,Down the Drain,S02E36
2,37,Let Them Eat Cake,S02E37
2,38,The Seven Voyages of Cynthia,S02E38
2,39,My Friend Barney,S02E39
2,40,Feeding Hubert,S02E40
2,41,Spike the Wonder Dog,S02E41
2,42,The Slide,S02E42
2,43,The Big Flush,S02E43
2,44,King Ten Pin,S02E44
2,45,Runaway Angelica,S02E45
2,46,Game Show Didi,S02E46
2,47,Toys in the Attic,S02E47
2,48,Driving Miss Angelica,S02E48
2,49,Susie vs. Angelica,S02E49
