SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Help Wanted,S01E01
1,2,Reef Blower,S01E02
1,3,Tea at the Treedome,S01E03
1,4,Bubblestand,S01E04
1,5,Ripped Pants,S01E05
1,6,Jellyfishing,S01E06
1,7,Plankton!,S01E07
1,8,Naughty Nautical Neighbors,S01E08
1,9,Boating School,S01E09
1,10,Pizza Delivery,S01E10
1,11,Home Sweet Pineapple,S01E11
1,12,Mermaid Man and Barnacle Boy,S01E12
1,13,Pickles,S01E13
1,14,Hall Monitor,S01E14
1,15,Jellyfish Jam,S01E15
1,16,Sandy's Rocket,S01E16
1,17,Squeaky Boots,S01E17
1,18,Nature Pants,S01E18
1,19,Opposite Day,S01E19
1,20,Culture Shock,S01E20
1,21,F.U.N.,S01E21
1,22,MuscleBob BuffPants,S01E22
1,23,Squidward the Unfriendly Ghost,S01E23
1,24,The Chaperone,S01E24
1,25,Employee of the Month,S01E25
1,26,Scaredy Pants,S01E26
1,27,I Was a Teenage Gary,S01E27
1,28,SB-129,S01E28
1,29,Karate Choppers,S01E29
1,30,Sleepy Time,S01E30
1,31,Suds,S01E31
1,32,Valentine's Day,S01E32
1,33,The Paper,S01E33
1,34,Arrgh!,S01E34
1,35,Rock Bottom,S01E35
1,36,Texas,S01E36
1,37,Walking Small,S01E37
1,38,Fools in April,S01E38
1,39,Neptune's Spatula,S01E39
1,40,Hooky,S01E40
1,41,Mermaid Man and Barnacle Boy II,S01E41
2,1,Your Shoe's Untied,S02E01
2,2,Squid's Day Off,S02E02
2,3,Something Smells,S02E03
2,4,Bossy Boots,S02E04
2,5,Big Pink Loser,S02E05
2,6,Bubble Buddy,S02E06
2,7,Dying for Pie,S02E07
2,8,Imitation Krabs,S02E08
2,9,Wormy,S02E09
2,10,Patty Hype,S02E10
2,11,Grandma's Kisses,S02E11
2,12,Squidville,S02E12
2,13,Prehibernation Week,S02E13
2,14,Life of Crime,S02E14
2,15,Christmas Who?,S02E15
2,16,Survival of the Idiots,S02E16
2,17,Dumped,S02E17
2,18,No Free Rides,S02E18
2,19,I'm Your Biggest Fanatic,S02E19
2,20,Mermaid Man and Barnacle Boy III,S02E20
2,21,Squirrel Jokes,S02E21
2,22,Pressure,S02E22
2,23,The Smoking Peanut,S02E23
2,24,Shanghaied,S02E24
2,25,Gary Takes a Bath,S02E25
2,26,Welcome to the Chum Bucket,S02E26
2,27,Frankendoodle,S02E27
2,28,The Secret Box,S02E28
2,29,Band Geeks,S02E29
2,30,Graveyard Shift,S02E30
2,31,Krusty Love,S02E31
2,32,Procrastination,S02E32
2,33,I'm with Stupid,S02E33
2,34,Sailor Mouth,S02E34
2,35,Artist Unknown,S02E35
2,36,Jellyfish Hunter,S02E36
2,37,The Fry Cook Games,S02E37
2,38,Squid on Strike,S02E38
2,39,Sandy, SpongeBob, and the Worm,S02E39
3,1,The Algae's Always Greener,S03E01
3,2,SpongeGuard on Duty,S03E02
3,3,Club SpongeBob,S03E03
3,4,My Pretty Seahorse,S03E04
3,5,Just One Bite,S03E05
3,6,The Bully,S03E06
3,7,Nasty Patty,S03E07
3,8,Idiot Box,S03E08
3,9,Mermaid Man and Barnacle Boy IV,S03E09
3,10,Doing Time,S03E10
3,11,Snowball Effect,S03E11
3,12,One Krab's Trash,S03E12
3,13,As Seen on TV,S03E13
3,14,Can You Spare a Dime?,S03E14
3,15,No Weenies Allowed,S03E15
3,16,Squilliam Returns,S03E16
