SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Born to Be Beavers,S01E01
1,2,Up All Night,S01E02
1,3,A Dam Too Far,S01E03
1,4,Long in the Tooth,S01E04
1,5,Gift Hoarse,S01E05
1,6,Go Beavers!,S01E06
1,7,Box Top Beavers,S01E07
1,8,Salmon Sez,S01E08
1,9,Beaver Fever,S01E09
1,10,Same Time Last Week,S01E10
1,11,Kandid Kreatures,S01E11
1,12,Fakin' It!,S01E12
1,13,Muscular Beaver,S01E13
1,14,Fish and Dips,S01E14
1,15,Enter the Daggett,S01E15
1,16,Bug-a-Boo,S01E16
1,17,Mission to the Big Hot Thingy,S01E17
1,18,I Dare You,S01E18
1,19,Stinky Toe,S01E19
1,20,House Broken,S01E20
1,21,Treey's Company,S01E21
1,22,Guess Who's Stumping to Dinner?,S01E22
1,23,Fancy Prance,S01E23
1,24,H-2-Whoa!,S01E24
1,25,The Bing That Wouldn't Leave,S01E25
1,26,You Promised!,S01E26
2,1,Bummer of Love,S02E01
2,2,Food of the Clods,S02E02
2,3,Tree of Hearts,S02E03
2,4,Dag for Night,S02E04
2,5,Un-barry-ble,S02E05
2,6,Another One Bites the Musk,S02E06
2,7,The Mighty Knot-Head,S02E07
2,8,Pond Scum,S02E08
2,9,Utter Nonsense,S02E09
2,10,Endangered Species,S02E10
2,11,Lumberjacks' Challenge,S02E11
2,12,Zooing Time,S02E12
2,13,Friends, Romans, Beavers!,S02E13
2,14,Big Round Sticky Fish Thingy,S02E14
2,15,The Day the World Got Really Screwed Up,S02E15
2,16,Open Wide for Zombies,S02E16
2,17,Dumbwaiters,S02E17
2,18,Sans-a-Pelt,S02E18
2,19,Goin' South,S02E19
2,20,Gettin' Squirrelly,S02E20
2,21,If You In-Sisters,S02E21
2,22,Alley Oops,S02E22
2,23,My Bunny-Guard,S02E23
2,24,What's Eatin' You?,S02E24
2,25,Omega Beaver,S02E25
2,26,Bite This!,S02E26
3,1,Spooky Spoots,S03E01
3,2,Up All Night 2: Up All Day,S03E02
3,3,Muscular Beaver 2,S03E03
3,4,Stump Looks for His Roots,S03E04
3,5,Tree of Evil,S03E05
3,6,Dag Con Carny,S03E06
3,7,All in the Colony,S03E07
3,8,Line Duncing,S03E08
3,9,The Poot-Trout,S03E09
3,10,The Mom from U.N.C.L.E.,S03E10
3,11,Beaverman,S03E11
3,12,The Creature from the Chocolate Lagoon,S03E12
3,13,A Little Dad'll Do Ya,S03E13
3,14,Pass It On!,S03E14
3,15,Stump's Big Day,S03E15
3,16,The Legend of Kid Friendly,S03E16
3,17,The Brothers... Not,S03E17
3,18,Slap Happy,S03E18
3,19,Norgy Porgy,S03E19
3,20,Norbert's Place,S03E20
3,21,Tough Love,S03E21
3,22,A Little Bit Off the Top,S03E22
3,23,Can't Get Any Higher,S03E23
3,24,The Loogie Hawk,S03E24
3,25,Long Tall Daggy,S03E25
3,26,Practical Jerks,S03E26
4,1,Dagski and Norb,S04E01
4,2,Shell or High Water,S04E02
4,3,Nice & Lonely,S04E03
4,4,Soccer? I Hardly Knew Him!,S04E04
4,5,Slap-a-Rooney,S04E05
4,6,Uglee,S04E06
4,7,The Beavemaster,S04E07
4,8,Deck Poops,S04E08
4,9,Fat Chance,S04E09
4,10,Dag in the Mirror,S04E10
4,11,Canucks Amuck,S04E11
4,12,Yak in the Sack,S04E12
4,13,Driving Misses Daggy,S04E13
4,14,Big Fun,S04E14
4,15,Moby Dopes,S04E15
4,16,Present Tense,S04E16
4,17,It's a Spootiful Life,S04E17
4,18,The Thing from Above,S04E18
4,19,The Posei-Dam Adventure,S04E19
4,20,The Big Frog,S04E20
4,21,Van-tastic Voyage,S04E21
4,22,Blacktop Beavers,S04E22
4,23,Specs Appeal,S04E23
4,24,Things That Go Hook in the Night,S04E24
4,25,Damnesia,S04E25
4,26,The Posei-Dam Adventure,S04E26
4,27,The Stare-Master,S04E27
4,28,All You Need Is Love,S04E28
4,29,The Day the Earth Got Really Screwed Up,S04E29
4,30,Muscular Beaver 5,S04E30
4,31,A Tail of Two Beavers,S04E31
4,32,Vantastic Voyage,S04E32
4,33,Chocolate Up to Experience,S04E33
4,34,Three Dag Nite!,S04E34
4,35,All You Need Is Love,S04E35
4,36,The Stare-Master,S04E36
4,37,Muscular Beaver 5,S04E37
4,38,A Tail of Two Beavers,S04E38
4,39,To Be or Not to Be?,S04E39
