SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,The Big Problem!,S01E01
1,2,Power Mad!,S01E02
1,3,Spaced Out,S01E03
1,4,TransParents!,S01E04
1,5,A Wish Too Far!,S01E05
1,6,Tiny Timmy!,S01E06
1,7,Father Time!,S01E07
1,8,Apartnership!,S01E08
1,9,Chin Up!,S01E09
1,10,Dog's Day Afternoon,S01E10
1,11,Dream Goat!,S01E11
1,12,The Same Game,S01E12
1,13,Christmas Every Day!,S01E13
2,1,Boys in the Band,S02E01
2,2,Hex Games,S02E02
2,3,Boy Toy,S02E03
2,4,Inspection Detection,S02E04
2,5,Action Packed,S02E05
2,6,Smarty Pants,S02E06
2,7,Super Bike,S02E07
2,8,A Mile in My Shoes,S02E08
2,9,Timvisible,S02E09
2,10,That's Life!,S02E10
2,11,Shiny Teeth,S02E11
2,12,Odd, Odd West,S02E12
2,13,MicroPhony,S02E13
2,14,So Totally Spaced Out,S02E14
2,15,The Switch Glitch,S02E15
2,16,Mighty Mom & Dyno Dad,S02E16
2,17,Knighty Knight,S02E17
2,18,Fairy, Fairy, Quite Contrary,S02E18
2,19,Nectar of the Odds,S02E19
2,20,Hail to the Chief,S02E20
2,21,Twistory,S02E21
2,22,Fool's Day Out,S02E22
2,23,Deja Vu,S02E23
2,24,Scary Godparents,S02E24
3,1,Ruled Out,S03E01
3,2,That's My Mom!,S03E02
3,3,This is Your Wish,S03E03
3,4,The Crimson Chin Meets Mighty Mom & Dyno Dad!,S03E04
3,5,Engine Blocked,S03E05
3,6,Most Wanted Wish,S03E06
3,7,What's the Difference?,S03E07
3,8,Oh, Brother!,S03E08
3,9,The Big Scoop!,S03E09
3,10,Abra-Catastrophe!,S03E10
3,11,Sleepover and Over,S03E11
3,12,Mother Nature,S03E12
3,13,The Incredible Shrinking Day,S03E13
3,14,Pipe Down!,S03E14
3,15,The Big Superhero Wish!,S03E15
3,16,Vicky Loses Her Icky,S03E16
3,17,Pixies Inc.,S03E17
3,18,The Odd Squad,S03E18
3,19,For Emergencies Only,S03E19
3,20,Crime Wave,S03E20
3,21,Odd Jobs,S03E21
3,22,Movie Magic,S03E22
3,23,Who's Your Daddy?,S03E23
3,24,Homewrecker,S03E24
3,25,Where's Wanda?,S03E25
3,26,Imaginary Gary,S03E26
3,27,Miss Dimmsdale,S03E27
3,28,Mind Over Magic,S03E28
3,29,Kung Timmy,S03E29
3,30,Which Witch is Which?,S03E30
3,31,Hard Copy,S03E31
3,32,Parent Hoods,S03E32
4,1,Shelf Life,S04E01
4,2,Hard Copy,S04E02
4,3,Parent Hoods,S04E03
4,4,Lights... Camera... Adam!,S04E04
4,5,A Bad Case of Diary-Uh!,S04E05
4,6,The Jimmy Timmy Power Hour,S04E06
4,7,The Lame Ducks,S04E07
4,8,A Perfect Life,S04E08
4,9,Catman Meets the Crimson Chin,S04E09
4,10,Genie Meanie Minie Mo,S04E10
4,11,Who's Your Daddy?,S04E11
4,12,Homewrecker,S04E12
4,13,New Squid in Town,S04E13
4,14,Wish Fixers,S04E14
4,15,Emotion Commotion!,S04E15
4,16,Fairy Friends & Neighbors!,S04E16
4,17,Just the Two of Us!,S04E17
4,18,A New Wanda!,S04E18
4,19,The Big Bash,S04E19
4,20,Channel Chasers,S04E20
5,1,Nega-Timmy,S05E01
5,2,Love at First Height,S05E02
5,3,You Doo!,S05E03
5,4,Just Desserts!,S05E04
5,5,Go Young, West Man!,S05E05
5,6,Birthday Wish,S05E06
5,7,Blondas Have More Fun,S05E07
5,8,Five Days of Flarg,S05E08
5,9,Timmy's 2-D House of Horror,S05E09
5,10,It's a Wishful Life,S05E10
5,11,Escape from Unwished Island,S05E11
5,12,The Gland Plan,S05E12
5,13,School's Out! The Musical,S05E13
5,14,The Good Ol' Days,S05E14
5,15,Future Lost,S05E15
5,16,Timmy the Barbarian!,S05E16
5,17,No Substitute for Crazy!,S05E17
5,18,Fairy Idol,S05E18
5,19,The Jimmy Timmy Power Hour 2: When Nerds Collide,S05E19
5,20,The Jimmy Timmy Power Hour 3: The Jerkinators!,S05E20
5,21,Catman Begins!,S05E21
5,22,Mooooving Day,S05E22
5,23,Big Wanda,S05E23
5,24,Oh, Brother!,S05E24
5,25,What's the Difference?,S05E25
5,26,Smart Attack!,S05E26
5,27,Operation: F.U.N.,S05E27
5,28,Something's Fishy!,S05E28
5,29,Presto Change-O,S05E29
5,30,The Good Old Days,S05E30
5,31,Future Lost,S05E31
5,32,Fairy Idol,S05E32
