SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Meet the Reaper,S01E01
1,2,Skeletons in the Water Closet,S01E02
1,3,Opposite Day,S01E03
1,4,Look Alive!,S01E04
1,5,Mortal Dilemma,S01E05
1,6,Get Out of My Head!,S01E06
1,7,Fiend Is Like Friend Without the 'R',S01E07
1,8,Recipe for Disaster,S01E08
1,9,A Dumb Wish,S01E09
2,1,Grim vs. Mom,S02E01
2,2,Tastes Like Chicken,S02E02
2,3,Grim or Gregory?,S02E03
2,4,Something Stupid This Way Comes,S02E04
2,5,A Grim Surprise,S02E05
2,6,Beasts and Barbarians,S02E06
2,7,Hoss Delgado: Spectral Exterminator,S02E07
2,8,To Eris Human,S02E08
2,9,Billy's Growth Spurt,S02E09
2,10,Billy and the Bully,S02E10
2,11,Big Trouble in Billy's Basement,S02E11
2,12,Tickle Me Mandy,S02E12
2,13,Little Rock of Horrors,S02E13
2,14,Dream a Little Dream,S02E14
3,1,Toadblatt's School of Sorcery,S03E01
3,2,Educating Grim,S03E02
3,3,It's Hokey Mon!,S03E03
3,4,Night of the Living Grim,S03E04
3,5,Brown Evil,S03E05
3,6,Brown Evil: Part 2,S03E06
3,7,Mandy the Merciless,S03E07
3,8,Creating Chaos,S03E08
3,9,The Really Odd Couple,S03E09
3,10,Who Killed Who?,S03E10
3,11,Tween Wolf,S03E11
3,12,Grim in Love,S03E12
3,13,Crushed,S03E13
3,14,Love is "Evol" Spelled Backwards,S03E14
3,15,The Crawling Niceness,S03E15
3,16,Smarten Up!,S03E16
3,17,The Grim Show,S03E17
3,18,Son of Nergal,S03E18
3,19,Sister Grim,S03E19
3,20,Go-Kart 3000!,S03E20
3,21,Five-O-Clock Shadows,S03E21
3,22,Terror of the Black Knight,S03E22
3,23,Grim for a Day,S03E23
3,24,Chicken Ball Z,S03E24
3,25,The Halls of Time,S03E25
4,1,Spider's Little Daddy,S04E01
4,2,Tricycle of Terror,S04E02
4,3,Dumb-Dumbs & Dragons,S04E03
4,4,Fear and Loathing in Endsville,S04E04
4,5,Dad's Day Out,S04E05
4,6,Scythe 2.0,S04E06
4,7,The Wrongest Yard,S04E07
4,8,Druid, Where's My Car?,S04E08
4,9,Herbicidal Maniac,S04E09
4,10,Chaos Theory,S04E10
4,11,A Grim Day,S04E11
4,12,Pandora's Box,S04E12
5,1,Billy and Mandy's Jacked-Up Halloween,S05E01
5,2,The Firebird Sweet,S05E02
5,3,The Bubble with Billy,S05E03
5,4,Billy Idiot,S05E04
5,5,Home of the Ancients,S05E05
5,6,My Fair Mandy,S05E06
5,7,One Crazy Summoner,S05E07
5,8,Guess What's Coming to Dinner?,S05E08
5,9,Mommy Fiercest,S05E09
5,10,The Taking Tree,S05E10
5,11,Reap Walking,S05E11
5,12,The Loser from the Earth's Core,S05E12
5,13,Ecto Cooler,S05E13
5,14,The Schlubs,S05E14
5,15,Prank Call of Cthulhu,S05E15
6,1,Billy Ocean,S06E01
6,2,Hill-Billy,S06E02
6,3,Keeper of the Reaper,S06E03
6,4,The Love That Dare Not Speak Its Name,S06E04
6,5,Major Cheese,S06E05
6,6,Modern Primitives,S06E06
6,7,Giant Billy and Mandy All-Out Attack,S06E07
6,8,The Wrongest Yard,S06E08
6,9,He's Not Dead, He's My Mascot,S06E09
6,10,Hog Wild,S06E10
6,11,The Bad News Ghouls,S06E11
6,12,The House of No Tomorrow,S06E12
6,13,Happy Huggy Stuffy Bears,S06E13
6,14,The Secret Decoder Ring,S06E14
6,15,Wild Parts,S06E15
6,16,The Problem with Billy,S06E16
6,17,Wishbones,S06E17
7,1,Everything Breaks,S07E01
7,2,The Show That Dare Not Speak Its Name,S07E02
7,3,The Secret Snake Club,S07E03
7,4,He's Our Grim,S07E04
7,5,Spidermandy,S07E05
7,6,Be A-Fred, Be Very A-Fred,S07E06
7,7,The Crass Unicorn,S07E07
7,8,Billy & Mandy Begins,S07E08
7,9,Billy's Pit,S07E09
7,10,Dracula Must Die!,S07E10
7,11,Super Zero,S07E11
7,12,Sickly Sweet,S07E12
7,13,Nigel Planter and the Chamber Pot of Secrets,S07E13
7,14,Circus of Fear,S07E14
7,15,Bully Boogie,S07E15
7,16,Here Thar Be Dwarves!,S07E16
7,17,Which Came First?,S07E17
7,18,Substitute Teacher,S07E18
7,19,Waking Nightmare,S07E19
7,20,Beware of the Undertoad,S07E20
7,21,The Greatest Love Story Ever Told,S07E21
7,22,Detention X,S07E22
7,23,Company Halt,S07E23
7,24,Anger Mismanagement,S07E24
7,25,Billy Gets an "A,S07E25
7,26,Yeti or Not, Here I Come,S07E26
7,27,Nergal's Pizza,S07E27
7,28,Hey, Water You Doing?,S07E28
7,29,The Secret Snake Club vs. P.E.,S07E29
7,30,King Tooten Pooten,S07E30
7,31,Billy and Mandy Moon the Moon,S07E31
7,32,Wrath of the Spider Queen,S07E32
7,33,Billy & Mandy's Big Boogey Adventure,S07E33
7,34,Underfist: Halloween Bash,S07E34
