SeasonNumber,EpisodeNumber,EpisodeName,AbbvCombo
1,1,Monkey See, Doggie Do,S01E01
1,2,Mommy Fearest,S01E02
1,3,Insect Inside,S01E03
1,4,Powerpuff Bluff,S01E04
1,5,Octi Evil,S01E05
1,6,Geshundfight,S01E06
1,7,Buttercrush,S01E07
1,8,Fuzzy Logic,S01E08
1,9,Boogie Frights,S01E09
1,10,Abracadaver,S01E10
1,11,Telephonies,S01E11
1,12,Tough Love,S01E12
1,13,Major Competition,S01E13
1,14,Mr. Mojo's Rising,S01E14
1,15,Paste Makes Waste,S01E15
1,16,Ice Sore,S01E16
1,17,Bubblevicious,S01E17
1,18,The Bare Facts,S01E18
1,19,Cat Man Do,S01E19
1,20,Impeach Fuzz,S01E20
1,21,Just Another Manic Mojo,S01E21
1,22,Mime for a Change,S01E22
1,23,The Rowdyruff Boys,S01E23
1,24,Uh Oh, Dynamo,S01E24
2,1,Stuck Up, Up, and Away,S02E01
2,2,Schoolhouse Rocked,S02E02
2,3,Collect Her,S02E03
2,4,Supper Villain,S02E04
2,5,Birthday Bash,S02E05
2,6,Too Pooped to Puff,S02E06
2,7,Beat Your Greens,S02E07
2,8,Down 'n' Dirty,S02E08
2,9,Dream Scheme,S02E09
2,10,You Snooze, You Lose,S02E10
2,11,Slave the Day,S02E11
2,12,Los Dos Mojos,S02E12
2,13,A Very Special Blossom,S02E13
2,14,Daylight Savings,S02E14
2,15,Mo Job,S02E15
2,16,Petal to the Metal,S02E16
2,17,Slumbering with the Enemy,S02E17
2,18,The Powerpuff Girls' Best Rainy Day Adventure Ever,S02E18
2,19,Twisted Sister,S02E19
2,20,Cover Up,S02E20
2,21,Speed Demon,S02E21
2,22,Mojo Jonesin',S02E22
2,23,Something's a Ms.,S02E23
2,24,Gots a Bot,S02E24
2,25,Criss Cross Crisis,S02E25
3,1,Fallen Arches,S03E01
3,2,The Mane Event,S03E02
3,3,Town and Out,S03E03
3,4,Child Fearing,S03E04
3,5,Bubblevision,S03E05
3,6,Bought and Scold,S03E06
3,7,Gettin' Twiggy With It,S03E07
3,8,Cop Out,S03E08
3,9,Three Girls and a Monster,S03E09
3,10,Monkey See, Doggie Two,S03E10
3,11,Jewel of the Aisle,S03E11
3,12,Super Zeroes,S03E12
3,13,Candy is Dandy,S03E13
3,14,Catastrophe,S03E14
3,15,Hot Stuff,S03E15
3,16,Power-Noia,S03E16
3,17,The Headsucker's Moxy,S03E17
3,18,Equal Fights,S03E18
3,19,Moral Decay,S03E19
3,20,Meet the Beat-Alls,S03E20
3,21,Helter Shelter,S03E21
3,22,Power Lunch,S03E22
4,1,Film Flam,S04E01
4,2,All Chalked Up,S04E02
4,3,Get Back, Jojo,S04E03
4,4,Him Diddle Riddle,S04E04
4,5,Members Only,S04E05
4,6,Knock It Off,S04E06
4,7,Superfriends,S04E07
4,8,Nano of the North,S04E08
4,9,Stray Bullet,S04E09
4,10,Forced Kin,S04E10
4,11,Keen on Keane,S04E11
4,12,Not So Awesome Blossom,S04E12
4,13,Power-Prof.,S04E13
5,1,Monstra-City,S05E01
5,2,Shut the Pup Up,S05E02
5,3,Toast of the Town,S05E03
5,4,Divide and Conquer,S05E04
5,5,Burglar Alarmed,S05E05
5,6,Shotgun Wedding,S05E06
5,7,Save Mojo,S05E07
5,8,Substitute Creature,S05E08
5,9,'Twas the Fight Before Christmas,S05E09
5,10,The Boys are Back in Town,S05E10
5,11,Pee Pee G's,S05E11
5,12,Curses,S05E12
5,13,Bang for Your Buck,S05E13
5,14,Silent Treatment,S05E14
5,15,Sweet 'n' Sour,S05E15
5,16,Prime Mates,S05E16
5,17,Coupe D'Etat,S05E17
5,18,Makes Zen to Me,S05E18
5,19,Say Uncle,S05E19
5,20,Reeking Havoc,S05E20
5,21,Live and Let Dynamo,S05E21
5,22,West in Pieces,S05E22
5,23,Crazy Mixed-Up Puffs,S05E23
5,24,Mizzen in Action,S05E24
5,25,Roughing It Up,S05E25
5,26,What's the Big Idea?,S05E26
6,1,I See a Funny Cartoon in Your Future,S06E01
6,2,Octi-Gone,S06E02
6,3,Little Miss Interprets,S06E03
6,4,Custody Battle,S06E04
6,5,City of Clipsville,S06E05
6,6,Lying Around the House,S06E06
6,7,The Powerpuff Girls Rule!!!,S06E07
6,8,Nuthin' Special,S06E08
6,9,Neighbor Hood,S06E09
6,10,Aspirations,S06E10
6,11,That's Not My Baby!,S06E11
6,12,Simian Says,S06E12
6,13,Sun Scream,S06E13
6,14,The City of Frownsville,S06E14
6,15,See Me, Feel Me, Gnomey,S06E15
